case,openings,hammer_events,trr_events,para_events,bitflips,critical_bitflips,noncritical_bitflips,critical_trr_events,noncritical_trr_events,critical_para_events,noncritical_para_events,budget_blocks,budget_resets,prob_checks,prob_successes,para_checks,para_successes,budget_used_final_window,memory_system_cycles,num_read_reqs_0,read_latency_0,avg_read_latency_0,queue_len_avg_0,read_queue_len_avg_0,priority_queue_len_avg_0,row_conflicts_0,read_row_conflicts_0,row_misses_0,read_row_misses_0,row_hits_0,read_row_hits_0
para_sec_h2_ps2_step_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_step_nr64,75,21,0,3,6,1,5,0,0,0,3,0,0,6,6,41,3,0/32,188135,72,8779,121.930557,0.0408058055,0.0381162465,0.00268955808,41,41,31,31,0,0
para_sec_h2_ps3_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_linear_nr128,75,15,0,3,0,0,0,0,0,0,3,0,0,0,0,29,3,0/32,188055,72,6884,95.6111145,0.0311717317,0.028481029,0.00269070221,43,43,29,29,0,0
para_sec_h2_ps3_linear_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_linear_nr64,75,21,0,3,0,0,0,0,0,0,3,0,0,0,0,41,3,0/32,188143,72,8757,121.625,0.0405914634,0.0379020199,0.00268944376,41,41,31,31,0,0
para_sec_h2_ps3_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_sigmoid_nr128,75,15,0,3,0,0,0,0,0,0,3,0,0,0,0,29,3,0/32,188055,72,6884,95.6111145,0.0311717317,0.028481029,0.00269070221,43,43,29,29,0,0
para_sec_h2_ps3_sigmoid_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_sigmoid_nr64,75,21,0,3,0,0,0,0,0,0,3,0,0,0,0,41,3,0/32,188143,72,8757,121.625,0.0405914634,0.0379020199,0.00268944376,41,41,31,31,0,0
para_sec_h2_ps3_step_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_step_nr128,75,15,0,3,0,0,0,0,0,0,3,0,0,0,0,29,3,0/32,188055,72,6884,95.6111145,0.0311717317,0.028481029,0.00269070221,43,43,29,29,0,0
para_sec_h2_ps3_step_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps3_step_nr64,75,21,0,3,0,0,0,0,0,0,3,0,0,0,0,41,3,0/32,188143,72,8757,121.625,0.0405914634,0.0379020199,0.00268944376,41,41,31,31,0,0
para_sec_h4_ps1_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_linear_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_linear_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_linear_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_sigmoid_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_sigmoid_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_sigmoid_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_step_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_step_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_step_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps1_step_nr64,72,2,0,0,4,0,4,0,0,0,0,0,0,4,4,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_linear_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_linear_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_linear_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_sigmoid_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_sigmoid_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_sigmoid_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_step_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_step_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_step_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps2_step_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps3_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps3_linear_nr128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps3_linear_nr256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps3_linear_nr64,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h4_ps3_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
